date,temperature,demand
2019-01-01 04:00:00,7.8725004,16613
2019-01-01 05:00:00,8.6725,15774
2019-01-01 06:00:00,9.1725,15053
2019-01-01 07:00:00,10.8225,14481
2019-01-01 08:00:00,12.5725,13927
2019-01-01 09:00:00,13.4225,13566
2019-01-01 10:00:00,13.7725,13353
2019-01-01 11:00:00,13.9725,13475
2019-01-01 12:00:00,12.6725,13846
2019-01-01 13:00:00,13.1725,14199
2019-01-01 14:00:00,13.9725,14570
2019-01-01 15:00:00,14.2725,15172
2019-01-01 16:00:00,13.6725,15796
2019-01-01 17:00:00,10.4225,16202
2019-01-01 18:00:00,10.0725,16281
2019-01-01 19:00:00,8.7225,16245
2019-01-01 20:00:00,7.8725004,16420
2019-01-01 21:00:00,6.5725,16772
2019-01-01 22:00:00,5.3225,17713
2019-01-01 23:00:00,4.8225,18830
2019-01-02 00:00:00,5.0725,18788
2019-01-02 01:00:00,5.0725,18508
2019-01-02 02:00:00,4.8725,18070
2019-01-02 03:00:00,4.1725,17388
2019-01-02 04:00:00,3.2725,16399
2019-01-02 05:00:00,2.4225001,15460
2019-01-02 06:00:00,1.8225,14781
2019-01-02 07:00:00,1.2725,14410
2019-01-02 08:00:00,0.7725,14207
2019-01-02 09:00:00,0.27249998,14215
2019-01-02 10:00:00,-0.17750001,14547
2019-01-02 11:00:00,-0.52750003,15509
2019-01-02 12:00:00,0.47249997,17189
2019-01-02 13:00:00,0.6225,18528
2019-01-02 14:00:00,1.3225,18925
2019-01-02 15:00:00,1.9225001,19077
2019-01-02 16:00:00,2.5725,19018
2019-01-02 17:00:00,3.0225,18859
2019-01-02 18:00:00,3.3225,18733
2019-01-02 19:00:00,3.6225,18897
2019-01-02 20:00:00,3.5725,19070
2019-01-02 21:00:00,3.0725,19330
2019-01-02 22:00:00,2.2725,20115
2019-01-02 23:00:00,1.9725001,21109
2019-01-03 00:00:00,1.7225001,20963
2019-01-03 01:00:00,2.0725,20518
2019-01-03 02:00:00,2.4225001,19859
2019-01-03 03:00:00,2.9225001,18942
2019-01-03 04:00:00,3.5725,17616
2019-01-03 05:00:00,4.2725,16316
2019-01-03 06:00:00,4.4725,15369
2019-01-03 07:00:00,4.8225,14858
2019-01-03 08:00:00,5.1725,14575
2019-01-03 09:00:00,5.3725,14453
2019-01-03 10:00:00,5.3225,14643
2019-01-03 11:00:00,5.1225,15482
2019-01-03 12:00:00,4.8225,17057
2019-01-03 13:00:00,4.5225,18333
2019-01-03 14:00:00,4.7725,18755
2019-01-03 15:00:00,6.2725,18975
2019-01-03 16:00:00,6.7225,19142
2019-01-03 17:00:00,6.7725,19158
2019-01-03 18:00:00,6.9225,19021
2019-01-03 19:00:00,6.8725,18993
2019-01-03 20:00:00,6.2225,19034
2019-01-03 21:00:00,5.0225,19276
2019-01-03 22:00:00,2.2225,20021
2019-01-03 23:00:00,1.4225,20888
2019-01-04 00:00:00,0.67249995,20775
2019-01-04 01:00:00,0.12249999,20340
2019-01-04 02:00:00,0.8725,19730
2019-01-04 03:00:00,0.82249993,18835
2019-01-04 04:00:00,0.42249995,17620
2019-01-04 05:00:00,-0.3775,16376
2019-01-04 06:00:00,-0.8775,15497
2019-01-04 07:00:00,-1.0275,14960
2019-01-04 08:00:00,-1.3275,14684
2019-01-04 09:00:00,-1.1775,14594
2019-01-04 10:00:00,-1.2774999,14858
2019-01-04 11:00:00,-1.3774999,15749
2019-01-04 12:00:00,-0.6775,17441
2019-01-04 13:00:00,-0.32750002,18698
2019-01-04 14:00:00,1.1225001,18980
2019-01-04 15:00:00,2.7725,18973
2019-01-04 16:00:00,4.6725,18855
2019-01-04 17:00:00,5.9725,18700
2019-01-04 18:00:00,6.9725,18456
2019-01-04 19:00:00,7.8225,18441
2019-01-04 20:00:00,7.8725004,18442
2019-01-04 21:00:00,6.8725,18611
2019-01-04 22:00:00,5.7725,19223
2019-01-04 23:00:00,5.4225,20078
2019-01-05 00:00:00,4.1225,19891
2019-01-05 01:00:00,3.9225001,19379
2019-01-05 02:00:00,3.1725001,18874
2019-01-05 03:00:00,3.2225,18184
2019-01-05 04:00:00,3.7225,17166
2019-01-05 05:00:00,4.5725,16064
2019-01-05 06:00:00,4.3725,15127
2019-01-05 07:00:00,4.4225,14519
2019-01-05 08:00:00,4.6725,14201
2019-01-05 09:00:00,5.1725,14038
2019-01-05 10:00:00,5.2725,14083
2019-01-05 11:00:00,5.1725,14382
2019-01-05 12:00:00,4.5225,14998
2019-01-05 13:00:00,5.0225,15740
2019-01-05 14:00:00,5.4725,16472
2019-01-05 15:00:00,6.0225,17205
2019-01-05 16:00:00,6.4225,17624
2019-01-05 17:00:00,6.4725,17812
2019-01-05 18:00:00,6.5725,17795
2019-01-05 19:00:00,6.5225,17724
2019-01-05 20:00:00,5.8225,17675
2019-01-05 21:00:00,5.3725,17753
2019-01-05 22:00:00,5.1725,18268
2019-01-05 23:00:00,5.0725,18996
2019-01-06 00:00:00,6.1225,18949
2019-01-06 01:00:00,6.4225,18560
2019-01-06 02:00:00,4.7725,18139
2019-01-06 03:00:00,3.6725001,17532
2019-01-06 04:00:00,2.7725,16720
2019-01-06 05:00:00,2.2725,15844
2019-01-06 06:00:00,1.8725,15023
2019-01-06 07:00:00,1.6225001,14433
2019-01-06 08:00:00,1.5225,14041
2019-01-06 09:00:00,1.5225,13853
2019-01-06 10:00:00,1.3225,13851
2019-01-06 11:00:00,1.3225,14064
2019-01-06 12:00:00,3.4225001,14553
2019-01-06 13:00:00,4.4225,15162
2019-01-06 14:00:00,5.6725,15826
2019-01-06 15:00:00,7.7225,16478
2019-01-06 16:00:00,8.8725,16938
2019-01-06 17:00:00,8.5225,16933
2019-01-06 18:00:00,7.7725,16950
2019-01-06 19:00:00,7.3225,17056
2019-01-06 20:00:00,6.7725,17194
2019-01-06 21:00:00,5.3225,17502
2019-01-06 22:00:00,4.2725,18363
2019-01-06 23:00:00,3.8225002,19540
2019-01-07 00:00:00,2.4225001,19712
2019-01-07 01:00:00,2.7725,19443
2019-01-07 02:00:00,1.4225,19056
2019-01-07 03:00:00,0.072500005,18346
2019-01-07 04:00:00,-1.0775,17394
2019-01-07 05:00:00,-1.9275,16406
2019-01-07 06:00:00,-2.9275,15724
2019-01-07 07:00:00,-3.5774999,15326
2019-01-07 08:00:00,-4.2775,15155
