,date,temperature,demand
0,2019-01-01 04:00:00,7.8725004,16613
1,2019-01-01 05:00:00,8.6725,15774
2,2019-01-01 06:00:00,9.1725,15053
3,2019-01-01 07:00:00,10.8225,14481
4,2019-01-01 08:00:00,12.5725,13927
5,2019-01-01 09:00:00,13.4225,13566
6,2019-01-01 10:00:00,13.7725,13353
7,2019-01-01 11:00:00,13.9725,13475
8,2019-01-01 12:00:00,12.6725,13846
9,2019-01-01 13:00:00,13.1725,14199
10,2019-01-01 14:00:00,13.9725,14570
11,2019-01-01 15:00:00,14.2725,15172
12,2019-01-01 16:00:00,13.6725,15796
13,2019-01-01 17:00:00,10.4225,16202
14,2019-01-01 18:00:00,10.0725,16281
15,2019-01-01 19:00:00,8.7225,16245
16,2019-01-01 20:00:00,7.8725004,16420
17,2019-01-01 21:00:00,6.5725,16772
18,2019-01-01 22:00:00,5.3225,17713
19,2019-01-01 23:00:00,4.8225,18830
20,2019-01-02 00:00:00,5.0725,18788
21,2019-01-02 01:00:00,5.0725,18508
22,2019-01-02 02:00:00,4.8725,18070
23,2019-01-02 03:00:00,4.1725,17388
24,2019-01-02 04:00:00,3.2725,16399
25,2019-01-02 05:00:00,2.4225001,15460
26,2019-01-02 06:00:00,1.8225,14781
27,2019-01-02 07:00:00,1.2725,14410
28,2019-01-02 08:00:00,0.7725,14207
29,2019-01-02 09:00:00,0.27249998,14215
30,2019-01-02 10:00:00,-0.17750001,14547
31,2019-01-02 11:00:00,-0.52750003,15509
32,2019-01-02 12:00:00,0.47249997,17189
33,2019-01-02 13:00:00,0.6225,18528
34,2019-01-02 14:00:00,1.3225,18925
35,2019-01-02 15:00:00,1.9225001,19077
36,2019-01-02 16:00:00,2.5725,19018
37,2019-01-02 17:00:00,3.0225,18859
38,2019-01-02 18:00:00,3.3225,18733
39,2019-01-02 19:00:00,3.6225,18897
40,2019-01-02 20:00:00,3.5725,19070
41,2019-01-02 21:00:00,3.0725,19330
42,2019-01-02 22:00:00,2.2725,20115
43,2019-01-02 23:00:00,1.9725001,21109
44,2019-01-03 00:00:00,1.7225001,20963
45,2019-01-03 01:00:00,2.0725,20518
46,2019-01-03 02:00:00,2.4225001,19859
47,2019-01-03 03:00:00,2.9225001,18942
48,2019-01-03 04:00:00,3.5725,17616
49,2019-01-03 05:00:00,4.2725,16316
50,2019-01-03 06:00:00,4.4725,15369
51,2019-01-03 07:00:00,4.8225,14858
52,2019-01-03 08:00:00,5.1725,14575
53,2019-01-03 09:00:00,5.3725,14453
54,2019-01-03 10:00:00,5.3225,14643
55,2019-01-03 11:00:00,5.1225,15482
56,2019-01-03 12:00:00,4.8225,17057
57,2019-01-03 13:00:00,4.5225,18333
58,2019-01-03 14:00:00,4.7725,18755
59,2019-01-03 15:00:00,6.2725,18975
60,2019-01-03 16:00:00,6.7225,19142
61,2019-01-03 17:00:00,6.7725,19158
62,2019-01-03 18:00:00,6.9225,19021
63,2019-01-03 19:00:00,6.8725,18993
64,2019-01-03 20:00:00,6.2225,19034
65,2019-01-03 21:00:00,5.0225,19276
66,2019-01-03 22:00:00,2.2225,20021
67,2019-01-03 23:00:00,1.4225,20888
68,2019-01-04 00:00:00,0.67249995,20775
69,2019-01-04 01:00:00,0.12249999,20340
70,2019-01-04 02:00:00,0.8725,19730
71,2019-01-04 03:00:00,0.82249993,18835
72,2019-01-04 04:00:00,0.42249995,17620
73,2019-01-04 05:00:00,-0.3775,16376
74,2019-01-04 06:00:00,-0.8775,15497
75,2019-01-04 07:00:00,-1.0275,14960
76,2019-01-04 08:00:00,-1.3275,14684
77,2019-01-04 09:00:00,-1.1775,14594
78,2019-01-04 10:00:00,-1.2774999,14858
79,2019-01-04 11:00:00,-1.3774999,15749
80,2019-01-04 12:00:00,-0.6775,17441
81,2019-01-04 13:00:00,-0.32750002,18698
82,2019-01-04 14:00:00,1.1225001,18980
83,2019-01-04 15:00:00,2.7725,18973
84,2019-01-04 16:00:00,4.6725,18855
85,2019-01-04 17:00:00,5.9725,18700
